Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Potential,Storage,North America,USA,1,0,0,0,45.635052,-124.9843,Storage,450.0
Potential,Plan,North America,USA,0,0,0,0,35.385317,-119.297308,Plan,450.0
Potential,Storage,North America,USA,1,0,0,0,39.845347,-88.953416,Storage,450.0
Potential,Storage,North America,USA,1,0,0,0,39.800683,-87.975712,Storage,450.0
Potential,Storage,North America,USA,1,0,0,0,30.075864,-91.161065,Storage,450.0
Completed,Storage,North America,USA,1,0,0,0,32.654011,-88.781194,Storage,450.0
Potential,Roadmap,North America,USA,1,0,0,0,37.258813,-97.4817,Roadmap,450.0
Potential,Storage,North America,USA,1,0,0,0,41.158381,-101.127248,Storage,450.0
Potential,Storage,North America,USA,1,0,0,0,47.197797,-101.6796,Storage,450.0
Potential,Storage,North America,USA,1,0,0,0,29.17706,-94.707493,Storage,450.0
Potential,Capture and Storage,North America,USA,1,0,0,0,39.107347,-110.867393,CCS,450.0
Potential,Storage,North America,USA,1,0,0,0,41.577869,-109.207281,Storage,450.0
Potential,Storage,North America,USA,1,0,0,0,44.388915,-105.461027,Storage,450.0
Active,Capture,North America,USA,1,0,0,0,40.104766,-88.241923,Capture,10.0
Active,Capture,North America,USA,1,1,0,0,44.38918,-105.46109,Capture,200.0
Active,Capture,North America,USA,1,1,0,0,38.586201,-85.412379,Capture,10.0
Active,Capture,Europe,NO,1,0,0,0,60.803324,5.027942,Capture,10.0
Active,Capture,Europe,NO,1,0,0,0,60.803324,5.027942,Capture,10.0
Active,Capture,Europe,NO,1,0,0,0,60.803324,5.027942,Capture,10.0
Active,Capture,Europe,NO,1,0,0,0,60.803324,5.027942,Capture,10.0
Active,Capture,North America,USA,1,0,1,0,41.082047,-101.14317,Capture,700.0
Active,Capture,North America,USA,1,0,1,0,38.905411,-84.851392,Capture,600.0
Active,Capture,North America,USA,1,0,1,0,47.065786,-101.212171,Capture,455.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,30.096,-90.915,CCS,450.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,31.75334,-102.54305,CCS,450.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,29.3789,-94.92936,CCS,450.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,45.43,83.839,CCS,600.0
Active,Capture,Asia,JP,0,0,0,0,40.040187,-76.48263800000001,Capture,450.0
Active,Hub,Asia,JP,0,0,0,0,-7.218736,110.900066,TS,450.0
Active,Capture,Australia,AU,0,1,0,0,53.738306,-0.998615,Capture,3906.0
Active,Utilization,Europe,NO,0,1,0,0,59.06069,9.69052,CTS,450.0
Active,Storage,Europe,GB,0,0,0,0,53.759691,-3.890529,Storage,450.0
Active,Storage,Europe,PL,0,1,0,0,50.180222,18.932858,Storage,450.0
Active,EOR,Australia,AU,0,0,0,0,40.040187,-76.48263800000001,EOR,450.0
Active,Storage,Europe,DK,0,0,0,0,56.237304,5.853339,Storage,450.0
Active,Capture,Europe,NO,0,1,0,0,53.733955,-0.238885,Capture,450.0
Active,Capture,Europe,FR,0,1,0,0,45.804157,5.420279,Capture,450.0
Active,Storage,Unknown,Unknown,0,1,0,0,47.377119,-101.15238,Storage,450.0
Active,Capture and Storage,Europe,NO,0,1,0,0,59.840071,10.83646,CCS,450.0
Active,Unknown,Europe,NL,0,0,0,0,51.948866,4.134252,Storage,450.0
Active,Utilization,Europe,Swd,0,1,0,0,58.346534,11.421883,CTS,450.0
Active,Plan,Unknown,Unknown,0,0,0,0,51.33413,3.830939,Plan,450.0
Active,Hub,Europe,NO,0,0,0,0,59.622056,10.594439,TS,450.0
Active,Capture and Storage,North America,USA,0,1,0,0,38.385927,-105.018079,CCS,450.0
Potential,Capture,North America,USA,0,0,0,0,40.040187,-76.48263800000001,Capture,450.0
Active,Direct Air Capture,Europe,NL,0,0,0,0,52.569361,4.241377,THS,450.0
Active,Roadmap,Europe,S,0,0,0,0,40.040187,-76.48263800000001,Roadmap,450.0
Active,Hub,Europe,S,0,0,0,0,56.013126,-3.691888,TS,450.0
Active,Capture,Europe,GB,0,0,0,0,54.605549,-1.175697,Capture,450.0
Active,Capture,Europe,GB,0,0,0,0,53.345991,-2.897419,Capture,450.0
Active,Roadmap,Europe,E,0,0,0,0,52.534141,-2.081986,Roadmap,450.0
Active,Capture,Asia,AE,0,1,0,0,22.90474,53.941988,Capture,450.0
Active,Storage,Australia,AU,0,1,0,0,-28.113216,140.206906,Storage,450.0
Active,Plan,Europe,E,0,0,0,0,40.040187,-76.48263800000001,Plan,450.0
Active,Plan,Unknown,Unknown,0,0,0,0,40.040187,-76.48263800000001,Plan,450.0
Active,Roadmap,Unknown,Unknown,0,0,0,0,40.040187,-76.48263800000001,Roadmap,450.0
Active,Roadmap,Europe,E,0,0,0,0,40.040187,-76.48263800000001,Roadmap,450.0
Active,Roadmap,Europe,W,0,0,0,0,40.040187,-76.48263800000001,Roadmap,450.0
Active,Storage,Europe,S,0,0,0,0,53.711662,2.01455,Storage,450.0
Active,Capture,Unknown,Unknown,0,1,0,0,41.884944,-110.090532,Capture,450.0
Active,Capture,Europe,Sz,0,0,0,0,40.040187,-76.48263800000001,Capture,450.0
Active,Capture,North America,CA,0,1,0,0,53.208461,-109.94781,Capture,450.0
Active,Direct Air Capture,North America,CA,0,1,0,0,53.208461,-109.94781,Capture,450.0
Active,Capture and Storage,North America,USA,1,1,0,1,46.879014,-102.29691,CCS,450.0
Active,Capture,North America,USA,0,1,0,0,47.37694168,-101.1572266,Capture,450.0
Active,Capture,North America,USA,0,0,0,0,40.040187,-76.48263800000001,Capture,120.0
Active,Capture and Storage,Europe,Ire,0,0,0,0,51.819163,-8.244835,CCS,440.0
Completed,Capture and Storage,Europe,S,0,1,0,0,56.025381,-3.685859,CCS,605.0
Active,Capture and Storage,Europe,E,0,0,0,0,54.57648,-1.221469,CCS,450.0
Active,Utilization,North America,USA,0,1,0,0,31.532671,-91.441124,CTS,450.0
Active,Unknown,Europe,E,0,1,0,0,53.598494,-0.147233,Unknown,450.0
Potential,Storage,Africa,Saf,0,0,0,0,-28.945,31.372,Storage,450.0
Active,Capture,Europe,DK,0,0,0,0,55.621,13.004,Capture,450.0
Active,Storage,North America,USA,0,1,0,0,28.982852,-95.308668,Storage,450.0
Active,Capture,Asia,JP,0,1,0,0,34.36485,132.524931,Capture,450.0
Active,Hub,North America,USA,0,1,0,0,40.693008,-91.230511,TS,450.0
Active,Storage,North America,USA,0,1,0,0,32.232726,-103.58875,Storage,450.0
Active,Capture and Storage,North America,USA,0,1,0,0,41.923768,-91.685419,Transport,450.0
Active,Hub,North America,USA,0,0,0,0,30.41,-87.848,Hub,450.0
Active,Hub,North America,CA,0,0,0,0,53.588,-114.616,Hub,450.0
Active,Hub,North America,USA,0,0,0,0,41.083627,-104.189958,Hub,450.0
Active,Capture and Storage,Asia,JP,0,0,0,0,40.040187,-76.48263800000001,Transport,450.0
Active,Utilization,North America,USA,0,0,0,0,30.053414,-90.788434,CTS,450.0
Active,Storage,Australia,TL,0,0,0,0,-8.699951,127.671664,Storage,450.0
Active,Utilization,North America,USA,0,1,0,0,29.74636532,-95.01101265,CTS,450.0
Active,Capture and Storage,Europe,GB,0,1,0,0,53.476958,-0.068257,Transport,450.0
Potential,Roadmap,Europe,Sp,0,1,0,0,37.00444,-1.90425,CU,450.0
Potential,Hub,Europe,E,0,0,0,0,54.306,0.417,TS,450.0
Completed,Storage,Australia,AU,0,1,0,0,-38.5298,142.80295,Storage,450.0
Active,Storage,Europe,NL,0,0,0,0,51.948866,4.134252,CCS,450.0
Active,Capture,Asia,JP,0,0,0,0,40.040187,-76.48263800000001,Capture,450.0
Active,Storage,Africa,Saf,0,0,0,0,26.335,28.898,Storage,450.0
Active,Storage,Asia,CN,0,0,0,0,22.044,114.698,Storage,450.0
Active,Unknown,North America,USA,0,1,0,0,47.35822,-101.84145,Transport,450.0
Potential,Capture,North America,USA,0,0,0,0,30.13,-90.983,Capture,450.0
Potential,Capture,Europe,GB,0,0,0,0,40.040187,-76.48263800000001,Capture,450.0
Potential,Capture and Storage,Australia,AU,0,0,0,0,-20.233,116.752,CCS,450.0
Active,Unknown,North America,CA,0,0,0,0,50.18,-120.407,DACU,450.0
Potential,Plan,Unknown,Unknown,0,0,0,0,40.040187,-76.48263800000001,Plan,450.0
Potential,Unknown,Europe,NO,0,0,0,0,40.040187,-76.48263800000001,Plan,450.0
Potential,Capture and Storage,Asia,In,0,0,0,0,40.040187,-76.48263800000001,CCS,450.0
Potential,Capture and Storage,Europe,Swd,0,0,0,0,57.696,11.873,Transport,450.0
Potential,Capture and Storage,Unknown,Unknown,0,0,0,0,40.040187,-76.48263800000001,CCS,450.0
Potential,Capture and Storage,Asia,In,0,1,0,0,22.36606,73.12899,CCS,450.0
Potential,Capture,North America,USA,0,0,0,0,36.76,-120.381,Capture,450.0
Potential,Capture and Storage,North America,USA,0,0,0,0,40.040187,-76.48263800000001,Transport,450.0
Potential,Plan,Europe,FR,0,0,0,0,49.464,0.466,Plan,450.0
Potential,Capture and Storage,Europe,Ice,0,1,0,0,64.35921,-21.78683,CCS,450.0
Active,Capture and Storage,North America,USA,0,1,0,0,38.03074,-121.87006,CCS,450.0
Potential,Unknown,North America,USA,0,0,0,0,39.506,-89.797,CCUST,450.0
Potential,Capture and Storage,North America,CA,0,1,0,0,53.79655,-113.09176,CCS,450.0
