Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Completed,Storage,North America,USA,1,1,0,1,39.041661,-88.893386,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,38.40745,-87.95868,Storage,450.0
Hold,Capture,North America,USA,0,0,0,0,41.896108,-106.20491,Capture,20000.0
Hold,Capture and Storage,North America,USA,0,1,0,0,35.219122,-81.761418,CCS,825.0
Hold,Capture and Storage,North America,USA,0,1,0,0,38.80667877,-87.24694824,CCS,618.0
Active,Capture,North America,USA,0,1,0,0,40.540775,-89.679655,Capture,1538.0
Hold,Capture,North America,USA,1,0,0,0,47.30176,-93.371553,Capture,602.0
Terminated,Capture and Storage,North America,USA,0,1,1,0,41.689842,-83.437491,CCS,153.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,39.773533,-90.097383,CCS,200.0
Active,Capture,North America,USA,0,1,0,0,47.37694168,-101.1572266,Capture,1100.0
